Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 83, Loss: -3.7470, Val Acc@1: 30.200, Best Acc@1: 30.200
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 84, Loss: -3.4605, Val Acc@1: 29.160, Best Acc@1: 30.200
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 85, Loss: -3.6873, Val Acc@1: 29.190, Best Acc@1: 30.200
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 86, Loss: -3.5959, Val Acc@1: 29.160, Best Acc@1: 30.200
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 87, Loss: -3.2960, Val Acc@1: 29.680, Best Acc@1: 30.200
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 88, Loss: -3.9826, Val Acc@1: 30.800, Best Acc@1: 30.800
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 89, Loss: -4.0368, Val Acc@1: 31.340, Best Acc@1: 31.340
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 90, Loss: -3.8767, Val Acc@1: 31.810, Best Acc@1: 31.810
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 91, Loss: -3.7918, Val Acc@1: 32.390, Best Acc@1: 32.390
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 92, Loss: -3.3684, Val Acc@1: 30.560, Best Acc@1: 32.390
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 93, Loss: -3.3218, Val Acc@1: 33.240, Best Acc@1: 33.240
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 94, Loss: -3.6593, Val Acc@1: 35.050, Best Acc@1: 35.050
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 95, Loss: -3.5992, Val Acc@1: 34.200, Best Acc@1: 35.050
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 96, Loss: -3.5591, Val Acc@1: 37.540, Best Acc@1: 37.540
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 97, Loss: -3.3726, Val Acc@1: 35.430, Best Acc@1: 37.540
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 98, Loss: -3.6080, Val Acc@1: 35.400, Best Acc@1: 37.540
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 99, Loss: -4.3182, Val Acc@1: 35.770, Best Acc@1: 37.540
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 100, Loss: -4.1295, Val Acc@1: 34.460, Best Acc@1: 37.540
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 101, Loss: -4.0617, Val Acc@1: 35.090, Best Acc@1: 37.540
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 102, Loss: 3.2439, Val Acc@1: 37.700, Best Acc@1: 37.700
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 103, Loss: 3.4896, Val Acc@1: 39.770, Best Acc@1: 39.770
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 104, Loss: 3.5785, Val Acc@1: 38.920, Best Acc@1: 39.770
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 105, Loss: 3.4288, Val Acc@1: 40.260, Best Acc@1: 40.260
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 106, Loss: 3.5047, Val Acc@1: 40.130, Best Acc@1: 40.260
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 107, Loss: 3.4709, Val Acc@1: 42.440, Best Acc@1: 42.440
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 108, Loss: 3.3354, Val Acc@1: 41.610, Best Acc@1: 42.440
